**************************************************************************************************
file with basedata : 
Number of Instance : 0
**************************************************************************************************

#NumInstance       CPU Time (s)       BorneInf       Cmax Init    Cmax value
    0                     18.37            104            140            144
    1                      9.03             92            139            118
    2                      7.47            115            133            127
    3                      8.09            116            154            145
    4                      6.84            109            140            155
    5                      7.19            109            155            199
    6                     10.73            126            165            135
    7                      9.11            111            142            122
    8                     11.00            102            224            147
    9                      7.71             94            135            172
   10                      7.21            113            148            120
   11                      6.83             91            117            155
   12                      7.91             99            169            117
   13                      6.68            127            153            142
   14                      8.40             91            118            168
   15                      8.27            118            129            124
   16                     10.45            118            164            196
   17                      8.97            106            126            111
   18                      9.05            101            129            181
   19                      8.38            112            171            186
   20                      6.56            127            171            137
   21                      7.42            107            126            114
   22                      8.66            112            143            181
   23                     12.05            103            211            161
   24                      9.82             98            214            155
   25                      7.90            136            187            144
   26                      6.71            102            132            114
   27                      7.44            112            153            127
   28                      7.60            112            163            134
   29                      8.54            113            200            188

Mean value                 8.68         109.20         155.03         147.30
